关卡,DPS_exp,MonsterHP,dDPS_dL,dHP_dL,slope_raw,slope_norm
L1,33.21,60.00,9.6336,16.8000,0.573429,1.0360
L2,42.84,76.80,11.0149,19.1520,0.575129,1.0310
L3,55.24,98.30,14.1707,24.5146,0.578054,1.0287
L4,71.19,125.83,18.2246,31.3786,0.580797,1.0266
L5,91.69,161.06,23.4304,40.1647,0.583358,1.0247
L6,118.05,206.16,30.1130,51.4108,0.585733,1.0229
L7,151.91,263.88,38.6885,65.8058,0.587919,1.0212
L8,195.42,337.77,49.6890,84.2314,0.589910,1.0196
L9,251.29,432.35,63.7947,107.8162,0.591699,1.0180
L10,323.01,553.40,81.8750,138.0047,0.593277,1.0164
L11,415.04,708.35,105.0401,176.6460,0.594636,1.0149
L12,533.09,906.69,134.7071,226.1069,0.595767,1.0133
L13,684.46,1160.57,172.6841,289.4168,0.596662,1.0117
L14,878.46,1485.53,221.2766,370.4536,0.597313,1.0101
L15,1127.01,1901.48,283.4224,474.1806,0.597710,1.0084
L16,1445.31,2433.89,362.8636,606.9511,0.597846,1.0068
L17,1852.74,3115.38,464.3637,776.8974,0.597716,1.0051
L18,2374.03,3987.68,593.9831,994.4287,0.597311,1.0033
L19,3040.70,5104.24,759.4280,1272.8687,0.596627,1.0015
L20,3892.89,6533.42,852.1851,1429.1859,0.596273,1.0007
