关卡,梦魇 I,梦魇 II,梦魇 III,梦魇 IV,梦魇 V
L1,8.297,4.609,2.561,1.423,0.790
L2,7.617,4.232,2.351,1.306,0.726
L3,7.302,4.057,2.254,1.252,0.696
L4,7.082,3.934,2.186,1.214,0.675
L5,6.904,3.835,2.131,1.184,0.658
L6,6.750,3.750,2.083,1.157,0.643
L7,6.612,3.673,2.041,1.134,0.630
L8,6.488,3.604,2.002,1.112,0.618
L9,6.375,3.542,1.968,1.093,0.607
L10,6.273,3.485,1.936,1.076,0.598
L11,6.181,3.434,1.908,1.060,0.589
L12,6.099,3.388,1.882,1.046,0.581
L13,6.028,3.349,1.861,1.034,0.574
L14,5.969,3.316,1.842,1.023,0.569
L15,5.922,3.290,1.828,1.015,0.564
L16,5.888,3.271,1.817,1.010,0.561
L17,5.869,3.261,1.811,1.006,0.559
L18,5.866,3.259,1.810,1.006,0.559
L19,5.880,3.267,1.815,1.008,0.560
L20,5.915,3.286,1.826,1.014,0.563
