关卡,梦魇 I,梦魇 II,梦魇 III,梦魇 IV,梦魇 V
L1,1.807,3.252,5.854,10.537,18.966
L2,1.793,3.227,5.808,10.454,18.818
L3,1.780,3.203,5.766,10.379,18.681
L4,1.768,3.182,5.727,10.309,18.556
L5,1.757,3.162,5.691,10.245,18.440
L6,1.746,3.144,5.658,10.185,18.333
L7,1.737,3.127,5.628,10.130,18.235
L8,1.728,3.111,5.600,10.080,18.144
L9,1.720,3.097,5.574,10.034,18.061
L10,1.713,3.084,5.551,9.992,17.985
L11,1.707,3.072,5.530,9.953,17.916
L12,1.701,3.061,5.511,9.919,17.855
L13,1.696,3.052,5.494,9.889,17.800
L14,1.691,3.044,5.479,9.862,17.752
L15,1.687,3.037,5.466,9.840,17.711
L16,1.684,3.031,5.456,9.821,17.678
L17,1.682,3.027,5.448,9.807,17.652
L18,1.680,3.023,5.442,9.796,17.633
L19,1.679,3.022,5.439,9.790,17.622
L20,1.678,3.021,5.438,9.788,17.618
