关卡,梦魇 I,梦魇 II,梦魇 III,梦魇 IV,梦魇 V
L1,8.297,5.722,3.946,2.722,1.877
L2,7.617,5.253,3.623,2.498,1.723
L3,7.302,5.036,3.473,2.395,1.652
L4,7.082,4.884,3.368,2.323,1.602
L5,6.904,4.761,3.284,2.265,1.562
L6,6.750,4.655,3.210,2.214,1.527
L7,6.612,4.560,3.145,2.169,1.496
L8,6.488,4.474,3.086,2.128,1.468
L9,6.375,4.397,3.032,2.091,1.442
L10,6.273,4.326,2.983,2.058,1.419
L11,6.181,4.262,2.940,2.027,1.398
L12,6.099,4.206,2.901,2.001,1.380
L13,6.028,4.157,2.867,1.977,1.364
L14,5.969,4.116,2.839,1.958,1.350
L15,5.922,4.084,2.817,1.942,1.340
L16,5.888,4.061,2.801,1.931,1.332
L17,5.869,4.048,2.791,1.925,1.328
L18,5.866,4.045,2.790,1.924,1.327
L19,5.880,4.055,2.797,1.929,1.330
L20,5.915,4.079,2.813,1.940,1.338
