关卡,梦魇 I,梦魇 II,梦魇 III,梦魇 IV,梦魇 V
L1,1.807,2.891,4.625,7.400,11.840
L2,1.793,2.868,4.589,7.342,11.748
L3,1.780,2.847,4.556,7.289,11.663
L4,1.768,2.828,4.525,7.240,11.584
L5,1.757,2.811,4.497,7.195,11.512
L6,1.746,2.794,4.471,7.153,11.445
L7,1.737,2.779,4.447,7.115,11.384
L8,1.728,2.765,4.425,7.080,11.327
L9,1.720,2.753,4.404,7.047,11.275
L10,1.713,2.741,4.386,7.017,11.228
L11,1.707,2.731,4.369,6.991,11.185
L12,1.701,2.721,4.354,6.967,11.146
L13,1.696,2.713,4.341,6.945,11.112
L14,1.691,2.706,4.329,6.927,11.083
L15,1.687,2.699,4.319,6.911,11.057
L16,1.684,2.694,4.311,6.898,11.036
L17,1.682,2.690,4.305,6.887,11.020
L18,1.680,2.688,4.300,6.880,11.008
L19,1.679,2.686,4.297,6.876,11.001
L20,1.678,2.685,4.296,6.874,10.999
