关卡,梦魇 I,梦魇 II,梦魇 III,梦魇 IV,梦魇 V
L1,10.899,10.480,10.077,9.689,9.317
L2,10.187,9.795,9.418,9.056,8.708
L3,9.941,9.559,9.191,8.838,8.498
L4,9.816,9.439,9.076,8.727,8.391
L5,9.742,9.368,9.007,8.661,8.328
L6,9.697,9.324,8.965,8.620,8.289
L7,9.671,9.299,8.941,8.597,8.267
L8,9.660,9.289,8.932,8.588,8.258
L9,9.664,9.292,8.935,8.591,8.261
L10,9.680,9.308,8.950,8.606,8.275
L11,9.711,9.337,8.978,8.633,8.301
L12,9.755,9.380,9.019,8.673,8.339
L13,9.816,9.439,9.076,8.727,8.391
L14,9.895,9.515,9.149,8.797,8.459
L15,9.995,9.610,9.241,8.885,8.544
L16,10.117,9.728,9.354,8.994,8.648
L17,10.266,9.872,9.492,9.127,8.776
L18,10.446,10.045,9.658,9.287,8.930
L19,10.661,10.251,9.857,9.478,9.113
L20,10.918,10.498,10.094,9.706,9.332
