关卡,梦魇 I,梦魇 II,梦魇 III,梦魇 IV,梦魇 V
L1,3.032,3.244,3.472,3.715,3.975
L2,3.018,3.229,3.455,3.697,3.956
L3,3.005,3.216,3.441,3.682,3.940
L4,2.995,3.204,3.428,3.668,3.925
L5,2.985,3.194,3.418,3.657,3.913
L6,2.977,3.186,3.409,3.647,3.902
L7,2.970,3.178,3.401,3.639,3.894
L8,2.965,3.172,3.395,3.632,3.886
L9,2.961,3.168,3.390,3.627,3.881
L10,2.957,3.164,3.386,3.623,3.876
L11,2.955,3.162,3.383,3.620,3.874
L12,2.954,3.161,3.382,3.619,3.872
L13,2.954,3.161,3.382,3.619,3.873
L14,2.956,3.163,3.384,3.621,3.874
L15,2.958,3.165,3.387,3.624,3.877
L16,2.962,3.169,3.391,3.628,3.882
L17,2.967,3.174,3.396,3.634,3.889
L18,2.973,3.181,3.403,3.642,3.897
L19,2.980,3.189,3.412,3.651,3.906
L20,2.989,3.198,3.422,3.661,3.918
