关卡,DPS_exp,MonsterHP,dDPS_dL,dHP_dL,slope_raw,slope_norm
L1,33.21,100.70,9.6336,28.5988,0.336854,1.0214
L2,42.84,129.30,11.0149,32.6598,0.337260,1.0178
L3,55.24,166.02,14.1707,41.9352,0.337920,1.0156
L4,71.19,213.17,18.2246,53.8448,0.338466,1.0136
L5,91.69,273.71,23.4304,69.1368,0.338899,1.0117
L6,118.05,351.44,30.1130,88.7716,0.339219,1.0099
L7,151.91,451.25,38.6885,113.9827,0.339424,1.0082
L8,195.42,579.41,49.6890,146.3538,0.339513,1.0066
L9,251.29,743.96,63.7947,187.9183,0.339481,1.0050
L10,323.01,955.24,81.8750,241.2871,0.339326,1.0035
L11,415.04,1226.53,105.0401,309.8126,0.339044,1.0019
L12,533.09,1574.87,134.7071,397.7994,0.338631,1.0004
L13,684.46,2022.13,172.6841,510.7745,0.338083,0.9988
L14,878.46,2596.42,221.2766,655.8344,0.337397,0.9972
L15,1127.01,3333.80,283.4224,842.0914,0.336570,0.9956
L16,1445.31,4280.60,362.8636,1081.2453,0.335598,0.9939
L17,1852.74,5496.29,464.3637,1388.3190,0.334479,0.9923
L18,2374.03,7057.24,593.9831,1782.6016,0.333211,0.9905
L19,3040.70,9061.50,759.4280,2288.8605,0.331793,0.9888
L20,3892.89,11634.96,852.1851,2573.4648,0.331143,0.9897
