关卡,梦魇 I,梦魇 II,梦魇 III,梦魇 IV,梦魇 V
L1,10.899,8.790,7.088,5.716,4.610
L2,10.187,8.215,6.625,5.343,4.309
L3,9.941,8.017,6.466,5.214,4.205
L4,9.816,7.916,6.384,5.149,4.152
L5,9.742,7.857,6.336,5.110,4.121
L6,9.697,7.820,6.306,5.086,4.102
L7,9.671,7.799,6.290,5.072,4.091
L8,9.660,7.791,6.283,5.067,4.086
L9,9.664,7.793,6.285,5.069,4.088
L10,9.680,7.807,6.296,5.077,4.095
L11,9.711,7.831,6.315,5.093,4.107
L12,9.755,7.867,6.345,5.117,4.126
L13,9.816,7.917,6.384,5.149,4.152
L14,9.895,7.980,6.436,5.190,4.186
L15,9.995,8.060,6.500,5.242,4.228
L16,10.117,8.159,6.580,5.306,4.279
L17,10.266,8.279,6.677,5.385,4.342
L18,10.446,8.424,6.794,5.479,4.419
L19,10.661,8.598,6.934,5.592,4.510
L20,10.918,8.805,7.100,5.726,4.618
