关卡,梦魇 I,梦魇 II,梦魇 III,梦魇 IV,梦魇 V
L1,3.032,3.972,5.204,6.817,8.930
L2,3.018,3.953,5.179,6.785,8.888
L3,3.005,3.937,5.158,6.757,8.851
L4,2.995,3.923,5.139,6.732,8.819
L5,2.985,3.911,5.123,6.711,8.791
L6,2.977,3.900,5.109,6.693,8.768
L7,2.970,3.891,5.098,6.678,8.748
L8,2.965,3.884,5.088,6.665,8.732
L9,2.961,3.878,5.081,6.656,8.719
L10,2.957,3.874,5.075,6.648,8.709
L11,2.955,3.871,5.071,6.644,8.703
L12,2.954,3.870,5.070,6.641,8.700
L13,2.954,3.870,5.070,6.642,8.701
L14,2.956,3.872,5.072,6.645,8.704
L15,2.958,3.875,5.076,6.650,8.712
L16,2.962,3.880,5.083,6.658,8.722
L17,2.967,3.886,5.091,6.669,8.737
L18,2.973,3.894,5.101,6.683,8.755
L19,2.980,3.904,5.114,6.699,8.776
L20,2.989,3.915,5.129,6.719,8.802
