关卡,HP_base,AD_base,ARM_base,AD_gear_mult,HP_gear_mult,ARM_gear_mult,AD_total,HP_total,ARM_total,CR,CD,AS,SkillMult,K,DPS_exp,DR,EHP,MonsterHP,MonsterDMG,精英HP,BOSS_HP,装备AD占比
L1,150.00,12.00,6.00,0.500,0.500,0.500,18.00,225.00,9.00,0.0500,1.5000,1.0000,1.8000,1.8450,33.21,0.1525,265.50,100.70,5.61,453.15,2819.60,0.3333
L2,166.50,13.20,6.60,0.638,0.638,0.638,21.62,272.75,10.81,0.0684,1.5368,1.0316,1.8526,1.9813,42.84,0.0976,302.24,129.30,6.83,581.84,3620.37,0.3896
L3,184.82,14.52,7.26,0.789,0.789,0.789,25.98,330.64,12.99,0.0868,1.5737,1.0632,1.9053,2.1265,55.24,0.0797,359.27,166.02,8.32,747.09,4648.55,0.4410
L4,205.14,15.97,7.99,0.954,0.954,0.954,31.21,400.81,15.60,0.1053,1.6105,1.0947,1.9579,2.2811,71.19,0.0724,432.08,213.17,10.14,959.26,5968.74,0.4882
L5,227.71,17.57,8.78,1.134,1.134,1.134,37.49,485.88,18.74,0.1237,1.6474,1.1263,2.0105,2.4458,91.69,0.0697,522.31,273.71,12.35,1231.69,7663.86,0.5313
L6,252.76,19.33,9.66,1.330,1.330,1.330,45.04,589.00,22.52,0.1421,1.6842,1.1579,2.0632,2.6212,118.05,0.0698,633.21,351.44,15.04,1581.49,9840.40,0.5709
L7,280.56,21.26,10.63,1.545,1.545,1.545,54.10,714.00,27.05,0.1605,1.7211,1.1895,2.1158,2.8080,151.91,0.0717,769.18,451.25,18.32,2030.64,12635.07,0.6071
L8,311.42,23.38,11.69,1.779,1.779,1.779,64.99,865.54,32.50,0.1789,1.7579,1.2211,2.1684,3.0069,195.42,0.0751,935.85,579.41,22.31,2607.34,16223.43,0.6402
L9,345.68,25.72,12.86,2.035,2.035,2.035,78.08,1049.23,39.04,0.1974,1.7947,1.2526,2.2211,3.2186,251.29,0.0798,1140.25,743.96,27.17,3347.82,20830.88,0.6705
L10,383.71,28.30,14.15,2.315,2.315,2.315,93.79,1271.91,46.90,0.2158,1.8316,1.2842,2.2737,3.4439,323.01,0.0858,1391.21,955.24,33.10,4298.60,26746.85,0.6983
L11,425.91,31.12,15.56,2.620,2.620,2.620,112.68,1541.85,56.34,0.2342,1.8684,1.3158,2.3263,3.6835,415.04,0.0929,1699.79,1226.53,40.31,5519.40,34342.96,0.7238
L12,472.76,34.24,17.12,2.954,2.954,2.954,135.36,1869.09,67.68,0.2526,1.9053,1.3474,2.3789,3.9384,533.09,0.1014,2079.92,1574.87,49.10,7086.92,44096.36,0.7471
L13,524.77,37.66,18.83,3.318,3.318,3.318,162.61,2265.77,81.30,0.2711,1.9421,1.3789,2.4316,4.2092,684.46,0.1112,2549.18,2022.13,59.80,9099.60,56619.73,0.7684
L14,582.49,41.43,20.71,3.715,3.715,3.715,195.34,2746.64,97.67,0.2895,1.9789,1.4105,2.4842,4.4970,878.46,0.1224,3129.88,2596.42,72.84,11683.89,72699.73,0.7879
L15,646.57,45.57,22.78,4.150,4.150,4.150,234.67,3329.56,117.33,0.3079,2.0158,1.4421,2.5368,4.8026,1127.01,0.1353,3850.46,3333.80,88.72,15002.11,93346.46,0.8058
L16,717.69,50.13,25.06,4.624,4.624,4.624,281.91,4036.21,140.95,0.3263,2.0526,1.4737,2.5895,5.1268,1445.31,0.1498,4747.36,4280.60,108.06,19262.71,119856.85,0.8222
L17,796.63,55.14,27.57,5.142,5.142,5.142,338.66,4892.82,169.33,0.3447,2.0895,1.5053,2.6421,5.4708,1852.74,0.1661,5867.53,5496.29,131.62,24733.32,153896.19,0.8372
L18,884.26,60.65,30.33,5.708,5.708,5.708,406.84,5931.24,203.42,0.3632,2.1263,1.5368,2.6947,5.8353,2374.03,0.1844,7271.83,7057.24,160.31,31757.58,197602.71,0.8509
L19,981.53,66.72,33.36,6.325,6.325,6.325,488.74,7190.05,244.37,0.3816,2.1632,1.5684,2.7474,6.2215,3040.70,0.2046,9039.55,9061.50,195.26,40776.73,253721.88,0.8635
L20,1089.50,73.39,36.70,7.000,7.000,7.000,587.13,8716.01,293.56,0.4000,2.2000,1.6000,2.8000,6.6304,3892.89,0.2269,11274.72,11634.96,237.83,52357.32,325778.90,0.8750
