关卡,梦魇 I,梦魇 II,梦魇 III,梦魇 IV,梦魇 V
L1,11.832,11.162,10.530,9.934,9.372
L2,11.058,10.432,9.842,9.285,8.759
L3,10.792,10.181,9.605,9.061,8.548
L4,10.656,10.053,9.484,8.947,8.441
L5,10.576,9.977,9.412,8.880,8.377
L6,10.527,9.931,9.369,8.838,8.338
L7,10.498,9.904,9.344,8.815,8.316
L8,10.487,9.893,9.333,8.805,8.307
L9,10.491,9.897,9.337,8.808,8.310
L10,10.509,9.914,9.353,8.823,8.324
L11,10.541,9.945,9.382,8.851,8.350
L12,10.590,9.991,9.425,8.892,8.388
L13,10.656,10.053,9.484,8.947,8.441
L14,10.742,10.134,9.560,9.019,8.509
L15,10.850,10.236,9.656,9.110,8.594
L16,10.983,10.361,9.775,9.222,8.700
L17,11.145,10.514,9.919,9.357,8.828
L18,11.340,10.698,10.093,9.521,8.982
L19,11.574,10.919,10.301,9.718,9.167
L20,11.852,11.181,10.548,9.951,9.388
