关卡,梦魇 I,梦魇 II,梦魇 III,梦魇 IV,梦魇 V
L1,3.032,3.426,3.872,4.375,4.944
L2,3.018,3.410,3.854,4.355,4.921
L3,3.005,3.396,3.838,4.337,4.900
L4,2.995,3.384,3.824,4.321,4.883
L5,2.985,3.373,3.812,4.307,4.867
L6,2.977,3.364,3.802,4.296,4.854
L7,2.970,3.357,3.793,4.286,4.843
L8,2.965,3.350,3.786,4.278,4.834
L9,2.961,3.345,3.780,4.272,4.827
L10,2.957,3.342,3.776,4.267,4.822
L11,2.955,3.339,3.773,4.264,4.818
L12,2.954,3.338,3.772,4.263,4.817
L13,2.954,3.338,3.772,4.263,4.817
L14,2.956,3.340,3.774,4.265,4.819
L15,2.958,3.343,3.777,4.268,4.823
L16,2.962,3.347,3.782,4.273,4.829
L17,2.967,3.352,3.788,4.280,4.837
L18,2.973,3.359,3.796,4.289,4.847
L19,2.980,3.367,3.805,4.300,4.859
L20,2.989,3.377,3.816,4.312,4.873
