关卡,梦魇 I,梦魇 II,梦魇 III,梦魇 IV,梦魇 V
L1,11.832,9.619,7.820,6.358,5.169
L2,11.058,8.990,7.309,5.942,4.831
L3,10.792,8.774,7.133,5.799,4.715
L4,10.656,8.664,7.044,5.726,4.656
L5,10.576,8.598,6.990,5.683,4.621
L6,10.527,8.558,6.958,5.657,4.599
L7,10.498,8.535,6.939,5.642,4.587
L8,10.487,8.526,6.932,5.636,4.582
L9,10.491,8.529,6.934,5.637,4.583
L10,10.509,8.544,6.946,5.647,4.591
L11,10.541,8.570,6.968,5.665,4.606
L12,10.590,8.610,7.000,5.691,4.627
L13,10.656,8.664,7.044,5.727,4.656
L14,10.742,8.733,7.100,5.773,4.693
L15,10.850,8.821,7.172,5.831,4.740
L16,10.983,8.929,7.260,5.902,4.798
L17,11.145,9.061,7.367,5.989,4.869
L18,11.340,9.220,7.496,6.094,4.954
L19,11.574,9.410,7.650,6.220,5.057
L20,11.852,9.636,7.834,6.369,5.178
