关卡,梦魇 I,梦魇 II,梦魇 III,梦魇 IV,梦魇 V
L1,3.032,3.275,3.537,3.820,4.125
L2,3.018,3.259,3.520,3.802,4.106
L3,3.005,3.246,3.506,3.786,4.089
L4,2.995,3.234,3.493,3.772,4.074
L5,2.985,3.224,3.482,3.760,4.061
L6,2.977,3.215,3.473,3.750,4.050
L7,2.970,3.208,3.465,3.742,4.041
L8,2.965,3.202,3.458,3.735,4.034
L9,2.961,3.197,3.453,3.729,4.028
L10,2.957,3.194,3.449,3.725,4.023
L11,2.955,3.192,3.447,3.723,4.021
L12,2.954,3.191,3.446,3.721,4.019
L13,2.954,3.191,3.446,3.722,4.019
L14,2.956,3.192,3.447,3.723,4.021
L15,2.958,3.195,3.450,3.726,4.024
L16,2.962,3.199,3.455,3.731,4.029
L17,2.967,3.204,3.460,3.737,4.036
L18,2.973,3.210,3.467,3.745,4.044
L19,2.980,3.218,3.476,3.754,4.054
L20,2.989,3.228,3.486,3.765,4.066
